               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.6027,              6.9887,              5.0387,           0.0030949,             0.14747,            0.023692,           0.0031494,                   0,                   0,                   0,            0.070337,           0.0032959,           0.0032959
                   1,              4.1018,              4.0818,               4.498,             0.94143,             0.24242,             0.29403,             0.13431,                   0,                   0,                   0,            0.040206,            0.006498,            0.006498
                   2,              3.8475,              3.7802,              4.0505,             0.74407,             0.28359,             0.28579,             0.11312,                   0,                   0,                   0,           0.0099426,            0.009568,            0.009568
                   3,              3.3313,              3.2097,              3.4766,             0.51851,             0.50929,             0.38806,             0.13191,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   4,              3.1254,              2.8569,              3.1237,             0.36028,             0.53899,             0.34126,             0.11133,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   5,              3.0482,              2.4255,              2.8474,             0.36446,             0.59859,             0.50362,             0.19326,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                   6,              2.8849,              2.1778,              2.5416,             0.38377,             0.40646,             0.36101,             0.14206,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   7,              2.7675,              2.1344,              2.4623,             0.58444,             0.51192,             0.47319,             0.16444,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                   8,              2.7615,              2.0416,              2.3073,             0.63096,             0.55253,             0.55696,             0.22192,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                   9,              2.5855,               1.803,              2.2245,             0.55341,             0.48364,             0.48437,             0.20003,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  10,              2.6681,              1.8278,              2.1127,             0.66708,             0.57737,             0.59695,             0.23362,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  11,              2.6197,              1.8335,              2.0979,             0.57715,             0.52666,             0.54897,             0.23107,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  12,              2.5431,              1.7349,              2.0259,             0.63803,             0.58949,             0.61247,             0.24713,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  13,              2.4803,              1.6727,              1.9557,             0.66826,             0.58755,             0.57359,             0.21412,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  14,              2.5296,              1.5913,              1.9753,              0.6466,             0.55773,             0.56654,              0.2284,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  15,              2.4935,              1.5785,              1.9752,             0.54016,             0.52081,             0.55315,             0.22753,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  16,              2.5118,              1.6057,              1.9908,             0.62841,             0.50263,             0.50722,             0.20903,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  17,              2.4411,              1.5556,              1.9166,             0.66074,             0.61959,             0.59041,             0.24036,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  18,              2.4313,              1.5412,               1.967,             0.67032,             0.58788,             0.58992,             0.24363,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  19,              2.4579,               1.545,               1.916,             0.62882,             0.59439,             0.62584,             0.25314,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  20,              2.4221,              1.5169,              1.8479,             0.63556,             0.58465,             0.58873,             0.25397,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  21,              2.3991,              1.4585,              1.8973,             0.66142,             0.56727,             0.58877,              0.2477,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  22,              2.4044,              1.5447,              1.8867,             0.63853,             0.62101,             0.62292,             0.26936,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  23,              2.3579,              1.4312,              1.8672,             0.67064,             0.62545,             0.64224,             0.28054,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  24,              2.3871,              1.4798,               1.868,             0.60675,             0.65758,             0.62263,              0.2636,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  25,               2.331,              1.4489,              1.8644,             0.63989,             0.57812,             0.61946,             0.26168,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  26,              2.2635,              1.3387,               1.822,             0.63614,             0.64202,             0.64009,             0.26331,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  27,              2.3433,              1.3956,              1.8164,             0.62414,             0.57843,             0.58417,             0.25084,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  28,              2.3145,              1.3627,              1.8419,             0.58301,              0.5449,             0.55837,             0.24467,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  29,               2.246,              1.3329,               1.817,              0.6295,             0.65415,             0.64407,             0.27454,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  30,              2.3178,              1.3844,              1.8444,             0.69784,              0.6196,             0.65933,             0.28865,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  31,              2.2747,              1.3179,              1.8302,             0.68633,             0.66547,             0.65658,             0.29435,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
